|              FGQSON |     Z_FG |              BGQSON |     wrest | flag |    VMIN |   VMAX |                 Comment |
| J080049.89+354249.6 | 1.982311 | J080048.74+354231.3 | 1334.5323 |    3 |  -558.3 | 2000.0 |            Slight blend |
| J084158.47+392121.0 | 2.041176 | J084159.26+392140.0 | 1334.5323 |    1 | -2000.0 | 2000.0 | Null                  - |
| J085358.36-001108.0 | 2.401370 | J085357.49-001106.2 | 1334.5323 |    1 | -2000.0 | 2000.0 | Null                  - |
| J093226.34+092526.1 | 2.416996 | J093225.60+092500.2 | 1334.5323 |    1 | -2000.0 | 2000.0 |               Very weak |
| J093804.22+531743.9 | 2.067030 | J093804.84+531743.1 | 1334.5323 |    1 | -2000.0 | 2000.0 | Null                  - |
| J100627.47+480420.0 | 2.303153 | J100627.10+480429.9 | 1334.5323 |    1 | -2000.0 | 2000.0 |                peculiar |
| J103857.37+502708.0 | 3.132224 | J103900.01+502652.8 | 1334.5323 |    0 | -2000.0 | 2000.0 |              Bad blends |
| J114435.54+095921.7 | 2.973084 | J114436.65+095904.9 | 1334.5323 |    1 | -2000.0 | 2000.0 | Null                  - |
| J120417.47+022104.7 | 2.435792 | J120416.69+022111.0 | 1334.5323 |    1 | -2000.0 | 2000.0 |                  Strong |
| J142054.42+160333.3 | 2.021870 | J142054.92+160342.9 | 1334.5323 |    1 | -2000.0 | 2000.0 |              Weak CII*? |
| J142758.89-012130.4 | 2.273545 | J142758.74-012136.2 | 1334.5323 |    3 |  -271.6 | 2000.0 |       Blend to the blue |
| J155325.61+192141.0 | 2.009833 | J155325.89+192137.7 | 1334.5323 |    1 | -2000.0 | 2000.0 | Null                  - |
| J162738.63+460538.4 | 3.814576 | J162737.25+460609.3 | 1334.5323 |    0 | -2000.0 | 2000.0 |              Bad blends |
