#   name_b      |    RA_b      |    DEC_b     |     spec-id     |    name_f       |    RA_f      |    DEC_f     |    spec-id      |   zb   |   zf   | theta |  R_com   |  S/N  |   gUV   |   ib  |  J2Mb |  H2Mb |  K2Mb | JABb  |  HABb |  KABb |   if  |  J2Mf |  H2Mf |  K2Mf | JABf  | HABf  |  KABf |   tel_b     |        tel_f
SDSSJ0000-0013A | 00:00:43.710 | -00:13:46.16 | 1091-0083-52902 | SDSSJ0000-0018B | 00:00:39.004 | -00:18:03.98 | 0387-0167-51791 |  2.184 |  2.134 | 267.3 | 7219.293 | -1.00 |      4. | 20.00 |  0.00 |  0.00 |  0.00 | 19.78 | 19.62 | 19.20 | 18.83 |  0.00 |  0.00 |  0.00 | 18.65 | 18.47 | 18.18 | SDSSKDEVHSVCV | SDSSAUSKDEXDQSOZMADDOXVHSVCV
BOSSJ0000-0017A | 00:00:53.175 | -00:17:32.95 | 4216-0228-55477 | SDSSJ0000-0013B | 00:00:43.710 | -00:13:46.16 | 1091-0083-52902 |  2.766 |  2.184 | 267.5 | 7318.213 | -1.00 |      1. | 19.72 |  0.00 |  0.00 |  0.00 | 19.29 | 19.41 | 19.33 | 20.00 |  0.00 |  0.00 |  0.00 | 19.78 | 19.62 | 19.20 | SDSSBOSSKDEVHSALLBOSS | SDSSKDEVHSVCV
BOSSJ0001-0112A | 00:01:19.444 | -01:12:34.46 | 4216-0204-55477 | SDSSJ0000-0104B | 00:00:56.894 | -01:04:09.80 | 0387-0098-51791 |  2.211 |  2.109 | 607.5 | 16298.97 | -1.00 |      0. | 19.87 |  0.00 |  0.00 |  0.00 | 19.61 | 19.46 | 19.03 | 19.33 |  0.00 |  0.00 |  0.00 | 19.15 | 18.97 | 18.80 | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS | SDSSAUSKDEMADDOXVHSVCV
BOSSJ0001-0112A | 00:01:19.444 | -01:12:34.46 | 4216-0204-55477 | SDSSJ0001-0102B | 00:01:18.398 | -01:02:21.88 | 0387-0042-51791 |  2.211 |  1.967 | 612.7 | 15803.46 | -1.00 |      0. | 19.87 |  0.00 |  0.00 |  0.00 | 19.61 | 19.46 | 19.03 | 19.52 |  0.00 |  0.00 |  0.00 | 19.39 | 19.31 | 19.17 | SDSSBOSSKDEXDQSOZVHSVCVALLBOSS | SDSSKDEXDQSOZVHSVCV
BOSSJ0002-0053A | 00:02:12.074 | -00:53:09.11 | 4216-0169-55477 | SDSSJ0002-0057B | 00:02:10.115 | -00:57:30.92 | 1091-0072-52902 |  2.215 |  1.979 | 263.4 | 6817.502 | -1.00 |      1. | 19.47 |  0.00 |  0.00 |  0.00 | 19.21 | 19.07 | 18.64 | 20.08 |  0.00 |  0.00 |  0.00 | 19.96 | 19.87 | 19.74 | SDSSBOSSKDEXDQSOZVCVALLBOSS,APO | SDSSKDEXDQSOZVCV
BOSSJ0002-0530A | 00:02:16.669 | -05:30:07.62 | 7034-0252-56564 | BOSSJ0002-0529B | 00:02:11.769 | -05:29:08.48 | 7034-0256-56564 |  3.156 |  2.826 | 94.07 | 2937.727 | -1.00 |     20. | 18.75 |  0.00 |  0.00 |  0.00 | 18.26 | 18.36 | 18.26 | 20.02 |  0.00 |  0.00 |  0.00 | 19.59 | 19.70 | 19.63 | SDSSBOSSVHSALLBOSS | SDSSBOSSVHSALLBOSS
BOSSJ0002-0052A | 00:02:20.092 | -00:52:22.86 | 4216-0126-55477 | SDSSJ0002-0057B | 00:02:10.115 | -00:57:30.92 | 1091-0072-52902 |  2.237 |  1.979 | 342.4 | 8862.304 | -1.00 |      0. | 20.01 |  0.00 |  0.00 |  0.00 | 19.74 | 19.60 | 19.17 | 20.08 |  0.00 |  0.00 |  0.00 | 19.96 | 19.87 | 19.74 | SDSSBOSSKDEVHSVCVALLBOSS | SDSSKDEXDQSOZVCV
BOSSJ0002-0052A | 00:02:20.092 | -00:52:22.86 | 4216-0126-55477 | BOSSJ0002-0053B | 00:02:12.074 | -00:53:09.11 | 4216-0169-55477 |  2.237 |  2.215 | 128.8 | 3551.327 | -1.00 |      9. | 20.01 |  0.00 |  0.00 |  0.00 | 19.74 | 19.60 | 19.17 | 19.47 |  0.00 |  0.00 |  0.00 | 19.21 | 19.07 | 18.64 | SDSSBOSSKDEVHSVCVALLBOSS | SDSSBOSSKDEXDQSOZVCVALLBOSS,APO
BOSSJ0002+1257A | 00:02:44.943 | +12:57:56.79 | 6177-0247-56268 | BOSSJ0002+1258B | 00:02:43.400 | +12:58:31.57 | 6176-0588-56264 |  3.332 |  3.151 | 41.45 | 1361.782 | -1.00 |     78. | 21.05 |  0.00 |  0.00 |  0.00 | 20.37 | 20.46 | 20.32 | 20.88 |  0.00 |  0.00 |  0.00 | 20.28 | 20.38 | 20.28 | LRIS | LRIS
BOSSJ0002-0003A | 00:02:52.728 | -00:03:30.98 | 4217-0475-55478 | BOSSJ0003-0007B | 00:03:16.394 | -00:07:32.45 | 4216-0118-55477 |  3.683 |  3.182 | 429.3 | 14168.85 | -1.00 |      1. | 20.58 |  0.00 |  0.00 |  0.00 | 20.12 | 20.08 | 20.02 | 20.02 |  0.00 |  0.00 |  0.00 | 19.52 | 19.63 | 19.52 | SDSSBOSSKDEVCVALLBOSS | SDSSBOSSKDEVCVALLBOSS
BOSSJ0003-1051A | 00:03:03.351 | -10:51:50.67 | 7167-0048-56604 | BOSSJ0003-1056B | 00:03:08.103 | -10:56:52.85 | 7167-0041-56604 |  3.645 |  3.023 | 310.1 | 9999.233 | -1.00 |      0. | 19.24 |  0.00 |  0.00 |  0.00 | 18.77 | 18.74 | 18.68 | 21.48 |  0.00 |  0.00 |  0.00 | 21.01 | 21.10 | 21.03 | SDSSBOSSKDEVCVALLBOSS | BOSS
BOSSJ0003+0008A | 00:03:30.193 | +00:08:13.25 | 4217-0532-55478 | SDSSJ0003+0004B | 00:03:38.574 | +00:04:32.07 | 0685-0567-52203 |  2.589 |  2.093 | 254.4 | 6795.757 | -1.00 |      2. | 18.95 |  0.00 |  0.00 |  0.00 | 18.52 | 18.52 | 18.20 | 19.46 |  0.00 |  0.00 |  0.00 | 19.32 | 19.15 | 19.03 | SDSSBOSSKDEMADDOXVHSVCVALLBOSS | SDSSKDEXDQSOZVHSVCV
